question,option,context,boundary,generative,taste,stance,groundedness,skillable,expressive,noise
1,A,0,0,0,0,0,0,2,1,0
1,B,0,2,0,0,0,1,1,1,0
1,C,0,1,0,0,3,0,0,1,0
1,D,0,0,0,0,1,2,0,0,1
2,A,0,0,0,0,0,0,2,0,0
2,B,2,0,0,0,0,1,1,1,0
2,C,1,2,0,0,0,1,0,1,0
2,D,2,0,0,0,0,2,0,0,1
3,A,0,0,0,0,0,0,2,1,0
3,B,0,3,0,0,0,1,1,2,0
3,C,1,1,0,0,0,1,1,1,0
3,D,0,0,0,0,0,1,0,0,2
4,A,0,0,0,0,0,0,2,1,0
4,B,1,2,0,0,0,0,1,1,0
4,C,1,3,0,0,0,0,0,2,0
4,D,0,2,0,0,0,1,0,0,1
5,A,0,0,0,0,0,0,2,1,0
5,B,0,1,0,0,0,1,1,2,0
5,C,1,2,0,0,0,2,1,2,0
5,D,1,1,0,0,0,0,0,0,1
6,A,0,0,0,0,0,0,2,1,0
6,B,2,0,0,0,0,1,1,0,0
6,C,1,2,0,0,2,0,0,1,0
6,D,1,0,0,0,2,1,0,0,0
7,A,0,0,0,0,0,0,1,1,0
7,B,1,2,0,0,0,0,0,2,0
7,C,2,2,0,0,0,1,0,2,0
7,D,3,0,0,0,0,1,0,0,0
8,A,0,0,0,0,0,0,1,0,0
8,B,1,0,0,0,0,0,0,0,0
8,C,1,0,0,0,0,0,0,0,2
8,D,3,0,0,0,0,1,0,1,0
9,A,0,0,0,0,0,0,1,1,0
9,B,1,0,0,0,0,1,0,0,0
9,C,0,1,0,0,0,1,0,0,1
9,D,3,0,0,0,0,2,0,1,0
10,A,0,0,0,0,0,0,1,0,0
10,B,1,1,0,0,1,0,0,2,0
10,C,2,2,0,0,1,1,0,1,0
10,D,2,0,0,0,2,0,0,0,1
11,A,0,0,0,0,0,0,2,0,0
11,B,1,0,0,0,0,2,0,0,0
11,C,2,0,0,0,1,2,0,1,0
11,D,1,0,0,0,1,0,0,0,0
12,A,0,0,0,0,0,0,2,0,0
12,B,2,0,0,0,0,0,1,1,0
12,C,3,0,0,0,0,1,0,1,0
12,D,2,0,0,0,0,0,0,0,1
13,A,0,0,0,0,0,0,2,1,0
13,B,1,1,0,0,0,0,1,2,0
13,C,3,0,0,0,0,1,0,1,0
13,D,1,2,0,0,1,0,0,0,1
14,A,0,0,0,0,0,0,2,0,0
14,B,0,1,0,0,0,1,0,2,0
14,C,0,3,0,0,0,2,0,2,0
14,D,0,2,0,0,1,0,0,0,0
15,A,0,0,0,0,0,0,2,0,0
15,B,0,2,0,0,0,0,1,2,0
15,C,0,2,0,0,0,1,0,2,0
15,D,0,3,0,0,0,1,0,1,0
16,A,0,0,0,0,0,0,2,0,0
16,B,0,1,0,0,0,0,1,1,0
16,C,0,3,0,0,1,1,0,1,0
16,D,0,2,0,0,2,1,0,0,0
17,A,0,0,0,0,0,0,2,1,0
17,B,1,1,0,0,0,0,1,1,0
17,C,2,2,0,0,0,1,0,2,0
17,D,1,2,0,0,0,0,0,0,1
18,A,0,0,0,1,0,0,0,0,1
18,B,0,1,0,1,0,0,0,1,0
18,C,0,2,0,2,0,0,0,1,0
18,D,0,1,0,3,0,0,0,0,1
19,A,0,0,0,0,0,0,2,0,0
19,B,0,1,0,2,0,0,0,1,0
19,C,0,1,0,2,1,0,0,1,0
19,D,0,0,0,2,0,1,0,0,1
20,A,0,0,0,0,0,0,2,1,0
20,B,0,0,1,0,0,0,1,1,0
20,C,0,0,2,2,1,0,0,1,0
20,D,0,0,1,1,0,0,0,0,1
21,A,0,0,0,0,0,0,1,1,0
21,B,0,0,0,0,0,0,1,0,0
21,C,0,0,2,1,0,0,0,0,0
21,D,0,1,3,2,0,0,0,0,0
22,A,0,0,0,0,0,0,2,1,0
22,B,0,0,0,0,0,0,1,2,0
22,C,1,0,0,2,2,0,0,1,0
22,D,1,0,0,1,1,0,0,1,0
23,A,0,0,0,1,0,0,1,0,0
23,B,0,0,0,1,0,0,0,0,0
23,C,0,0,0,3,1,0,0,1,0
23,D,0,1,0,3,0,0,0,0,0
24,A,0,0,0,1,0,0,0,0,0
24,B,0,0,0,1,0,0,0,0,0
24,C,0,0,0,3,2,0,0,1,0
24,D,0,0,0,2,2,0,0,0,0
25,A,0,0,0,0,0,0,2,1,0
25,B,2,0,1,1,0,0,1,2,0
25,C,0,2,1,1,0,0,0,1,0
25,D,0,0,3,2,0,1,0,0,0
26,A,0,0,1,0,0,0,1,0,1
26,B,2,0,1,1,0,0,0,1,0
26,C,0,1,3,2,1,0,0,1,0
26,D,0,0,1,1,0,2,0,0,1
27,A,0,0,0,0,0,0,1,1,0
27,B,1,1,1,0,0,0,0,1,0
27,C,0,2,1,0,1,0,0,0,0
27,D,0,0,3,1,0,2,0,0,0
28,A,0,0,0,0,0,0,2,1,0
28,B,1,0,0,0,0,0,1,1,0
28,C,1,1,3,1,0,0,0,0,0
28,D,0,0,3,2,0,1,0,0,1
29,A,0,0,0,0,0,0,2,0,0
29,B,0,0,1,0,0,0,1,1,0
29,C,0,2,2,0,0,0,0,0,0
29,D,0,0,3,1,0,2,0,0,0
30,A,0,0,1,0,0,0,1,1,0
30,B,1,1,1,0,0,0,0,2,0
30,C,0,2,2,0,0,0,0,1,0
30,D,0,1,3,1,1,0,0,0,0
31,A,0,0,0,0,0,0,1,0,0
31,B,1,0,0,0,1,0,0,1,0
31,C,1,0,0,0,3,0,0,2,0
31,D,0,0,0,0,2,0,0,0,1
32,A,0,0,0,0,0,0,2,2,0
32,B,0,0,0,0,0,1,0,0,0
32,C,0,0,0,0,1,2,0,0,1
32,D,0,2,0,0,2,1,0,0,0
33,A,0,0,0,0,0,0,1,0,0
33,B,0,0,0,0,0,0,1,0,0
33,C,0,0,0,0,0,3,0,1,0
33,D,0,0,0,0,3,1,0,0,0
34,A,0,0,0,0,0,0,1,0,0
34,B,0,0,0,1,0,0,0,0,0
34,C,0,1,0,0,3,0,0,0,0
34,D,0,0,0,0,3,1,0,0,0
35,A,0,0,0,0,0,0,2,0,0
35,B,0,0,0,0,0,1,1,0,0
35,C,0,1,0,0,0,3,0,1,0
35,D,2,0,0,0,0,3,0,0,0
36,A,0,0,0,0,0,0,2,1,0
36,B,0,0,0,0,0,1,1,2,0
36,C,1,2,0,0,3,0,0,1,0
36,D,0,0,1,0,0,0,0,0,2
